"Date","Class","MAXLOC","AVGLOC","Index"
"2015-04-21 09:17","OpStatsLogger.java","4074","0",""
"2012-12-12 11:20","BKException.java","17226","-345","2"
"2012-04-02 12:38","BKException.java","11814","226","1"
"2013-03-25 06:27","TestLedgerManager.java","18652","0","4"
"2013-10-12 05:42","BookieJournalRollingTest.java","19088","0","6"
"2013-05-31 12:02","BookieJournalRollingTest.java","18841","0","5"
"2017-07-07 08:19","GetBookieInfoProcessorV3.java","4580","22",""
"2016-08-01 08:04","ClientConfiguration.java","119520","377",""
"2012-08-17 12:41","DistributionSchedule.java","14547","345","2"
"2017-08-02 00:49","PerChannelBookieClientFactory.java","117771","0",""
"2012-02-13 15:46","DistributionSchedule.java","4625","0","1"
"2012-04-17 13:16","BookieJournalRollingTest.java","10626","0","1"
"2013-04-04 11:21","HierarchicalLedgerManager.java","18700","0","5"
"2014-01-17 18:13","HierarchicalLedgerManager.java","19187","0","6"
"2014-09-18 06:57","CookieTest.java","112262","-95",""
"2012-03-28 23:57","HierarchicalLedgerManager.java","9095","0","1"
"2012-12-24 05:50","HierarchicalLedgerManager.java","17146","39","2"
"2013-03-25 06:27","ZooKeeperUtil.java","18903","233","4"
"2012-06-05 08:00","ZooKeeperUtil.java","9460","233","1"
"2012-11-21 12:24","ZooKeeperUtil.java","16282","233","2"
"2013-05-04 14:22","BookieAccessor.java","2688","0","5"
"2014-09-06 07:51","BookKeeperAdmin.java","130983","42",""
"2017-07-04 06:27","PendingReadOp.java","115326","92",""
"2013-10-12 05:42","CreateNewLogTest.java","5829","0","6"
"2016-04-05 21:52","ZooKeeperUtil.java","109314","233",""
"2013-09-11 00:34","PendingReadOp.java","18868","-446","5"
"2013-05-09 11:41","IndexCorruptionTest.java","18984","17","5"
"2012-09-07 07:04","BookKeeperAdmin.java","16599","41","2"
"2013-03-25 18:02","PendingReadOp.java","18737","-446","4"
"2017-01-30 23:25","CreateNewLogTest.java","114509","0",""
"2014-02-05 22:43","PendingReadOp.java","19159","86","7"
"2012-05-10 14:47","BookKeeperAdmin.java","11494","59","1"
"2014-01-21 05:19","PendingReadOp.java","19001","-440","6"
"2014-04-24 10:43","BookKeeperAdmin.java","19566","41","7"
"2012-03-31 10:58","PendingReadOp.java","11840","0","1"
"2017-03-22 22:54","BookieAccessor.java","111092","17",""
"2012-03-15 10:37","IndexCorruptionTest.java","7409","0","1"
"2017-06-01 23:58","TGTRefreshThread.java","1148","0",""
"2013-05-10 12:45","BookKeeperAdmin.java","18946","42","5"
"2013-01-09 17:18","IndexCorruptionTest.java","17734","17","2"
"2013-02-08 19:08","BookKeeperAdmin.java","18505","36","4"
"2012-12-13 13:07","PendingReadOp.java","17306","4","2"
"2013-06-12 18:41","ClientConfiguration.java","18531","348","5"
"2013-02-08 19:08","ClientConfiguration.java","17370","370","4"
"2014-05-27 13:56","ClientConfiguration.java","19262","348","7"
"2013-10-29 05:14","ClientConfiguration.java","18801","320","6"
"2012-04-20 19:18","ClientConfiguration.java","9893","-81","1"
"2017-06-30 00:12","DistributionSchedule.java","68690","345",""
"2014-07-24 01:41","BookieJournalRollingTest.java","19959","0",""
"2012-12-13 13:07","ClientConfiguration.java","16511","-45","2"
"2012-12-18 13:04","JournalChannel.java","16991","44","2"
"2012-09-07 07:04","CookieTest.java","16413","-95","2"
"2012-04-10 05:21","CookieTest.java","8017","0","1"
"2012-05-07 18:48","JournalChannel.java","9126","0","1"
"2013-10-12 05:42","JournalChannel.java","19219","44","6"
"2014-09-17 16:32","MultipleThreadReadTest.java","3500","-1395",""
"2017-05-12 16:39","HierarchicalLedgerManager.java","112195","39",""
"2014-05-09 14:04","CookieTest.java","20124","-95","7"
"2014-03-07 13:30","JournalChannel.java","19811","44","7"
"2013-10-12 05:42","CookieTest.java","19402","-95","6"
"2013-07-20 19:59","JournalChannel.java","19063","44","5"
"2016-07-14 23:02","BenchReadThroughputLatency.java","110113","0",""
"2013-03-18 00:31","BookieProtoEncoding.java","187","0","4"
"2017-06-01 11:42","LedgerInputStream.java","40521","0",""
"2013-02-08 19:08","Value.java","5193","0","4"
"2014-05-12 08:10","TestWatchEnsembleChange.java","2009","12","7"
"2015-04-21 09:44","EntryLogger.java","132817","226",""
"2013-05-04 14:22","CompactionTest.java","19039","0","5"
"2013-10-22 07:44","CompactionTest.java","19789","0","6"
"2012-08-17 11:58","Version.java","3885","0","2"
"2014-06-06 15:29","CompactionTest.java","20159","-8","7"
"2013-08-21 13:19","AutoRecoveryMainTest.java","7447","0","5"
"2012-03-15 10:37","CompactionTest.java","7119","0","1"
"2012-11-26 16:42","CompactionTest.java","16550","-3","2"
"2017-06-01 23:58","TopologyAwareEnsemblePlacementPolicy.java","4088","0",""
"2015-10-22 09:22","BookieWriteLedgerTest.java","109633","0",""
"2017-05-15 19:52","WriteLacProcessorV3.java","2252","0",""
"2014-07-24 01:41","ZkLedgerLayoutTest.java","19806","4",""
"2014-07-24 01:41","BookieShutdownTest.java","4318","-442",""
"2014-02-05 22:43","BookieWriteLedgerTest.java","11259","25","7"
"2012-05-17 19:07","EntryLogger.java","12540","149","1"
"2017-08-16 03:41","TestRackawareEnsemblePlacementPolicyUsingScript.java","11842","405",""
"2013-01-04 11:32","EntryLogger.java","17610","225","2"
"2013-04-26 18:38","BookieWriteLedgerTest.java","8969","0","5"
"2017-07-07 08:19","CompactionTest.java","132826","1",""
"2013-05-04 14:22","EntryLogger.java","19314","217","5"
"2013-10-22 07:44","EntryLogger.java","19789","217","6"
"2012-03-15 10:37","ZkLedgerLayoutTest.java","8486","0","1"
"2012-12-18 12:00","AuditorBookieTest.java","7171","14","2"
"2013-11-22 10:40","BookieShutdownTest.java","1928","0","6"
"2012-06-19 12:39","ZkLedgerLayoutTest.java","16734","15","2"
"2013-06-15 19:05","AuditorBookieTest.java","9358","14","5"
"2013-03-25 06:27","ZkLedgerLayoutTest.java","18652","15","4"
"2014-02-05 22:43","AuditorBookieTest.java","11253","14","7"
"2017-07-28 20:12","AuthProviderFactoryFactory.java","11588","12",""
"2012-05-09 13:20","BenchReadThroughputLatency.java","9134","0","1"
"2013-10-14 16:43","BenchReadThroughputLatency.java","19717","0","6"
"2013-02-08 19:08","BenchReadThroughputLatency.java","18130","0","4"
"2017-06-05 22:25","BookieProtoEncoding.java","115485","13",""
"2017-03-28 22:40","TestZkLedgerIdGenerator.java","111394","0",""
"2015-09-15 10:38","TestWatchEnsembleChange.java","4673","12",""
"2017-05-26 16:52","Value.java","112363","1",""
"2013-10-02 06:40","BookKeeper.java","19249","316","5"
"2016-07-11 23:01","LedgerMetadataImpl.java","115674","244",""
"2014-02-21 19:01","BookKeeper.java","19926","316","7"
"2014-01-21 05:19","BookKeeper.java","19566","316","6"
"2012-03-01 15:58","BookKeeper.java","12575","21","1"
"2013-01-10 19:13","BookKeeper.java","17765","21","2"
"2012-09-07 07:04","BookieShell.java","9762","47","2"
"2013-02-26 04:12","BookieShell.java","12237","55","4"
"2013-10-02 06:54","BookieShell.java","13004","197","5"
"2014-02-05 22:43","BookieShell.java","14686","197","7"
"2012-03-20 14:09","LedgerDescriptor.java","11840","0","1"
"2017-03-22 22:54","Bookie.java","119826","-180",""
"2012-12-18 13:04","LedgerDescriptor.java","17339","0","2"
"2017-03-28 22:40","ZkUtils.java","114625","276",""
"2017-07-28 20:12","ClientConnectionPeer.java","5908","0",""
"2016-02-24 00:34","LocalBookieEnsemblePlacementPolicy.java","115632","310",""
"2017-06-05 22:25","PacketProcessorBaseV3.java","115521","242",""
"2012-12-24 06:23","Bookie.java","17909","-211","2"
"2017-05-16 00:31","LedgerDescriptor.java","81360","-23",""
"2012-12-24 05:50","ZkUtils.java","17146","275","2"
"2012-04-02 12:38","Bookie.java","12253","462","1"
"2013-12-02 18:45","Bookie.java","20045","-287","6"
"2016-03-08 06:49","ForceReadOnlyBookieTest.java","1716","0",""
"2014-05-09 14:04","Bookie.java","20391","-324","7"
"2013-08-22 16:40","ZkUtils.java","18951","275","5"
"2013-05-04 14:22","Bookie.java","19784","-287","5"
"2017-03-23 15:59","TestZooKeeperClient.java","112812","95",""
"2015-04-21 09:17","CodahaleOpStatsTest.java","578","0",""
"2012-01-17 16:52","LedgerMetadataImpl.java","4405","9","1"
"2012-09-12 11:59","LedgerMetadataImpl.java","14547","242","2"
"2013-03-25 18:02","LedgerMetadataImpl.java","18737","243","4"
"2017-08-16 03:41","RackawareEnsemblePlacementPolicyImpl.java","12047","0",""
"2017-05-15 19:52","BookKeeper.java","116112","359",""
"2013-04-26 18:38","LedgerMetadataImpl.java","18856","243","5"
"2016-10-13 07:50","DNS.java","112401","0",""
"2017-03-28 22:35","BookieShell.java","115644","6",""
"2015-04-21 09:17","PacketProcessorBase.java","114187","-8",""
"2017-03-28 22:40","ScanAndCompareGarbageCollector.java","111253","2",""
"2017-07-28 20:12","BookieInfoReader.java","8602","15",""
"2017-08-16 03:41","ScriptBasedMapping.java","119164","-8",""
"2017-05-15 19:52","TestPerChannelBookieClient.java","113730","-176",""
"2017-08-02 00:49","ConnectionPeer.java","9032","0",""
"2017-06-21 19:50","LedgerRecoveryOp.java","114131","345",""
"2017-08-02 00:49","PendingAddOp.java","119218","191",""
"2015-10-22 09:22","LedgerCreateOp.java","108860","0",""
"2013-10-14 17:38","LedgerRecoveryOp.java","19150","343","6"
"2013-03-25 18:02","LedgerRecoveryOp.java","18737","1","4"
"2012-12-03 15:04","InMemoryMetastoreTable.java","945","0","2"
"2013-10-02 06:40","InMemoryMetastoreTable.java","7168","-445","5"
"2014-05-12 08:10","InMemoryMetastoreTable.java","9324","7","7"
"2012-05-10 14:47","LedgerRecoveryOp.java","12570","0","1"
"2017-08-16 03:41","NetUtils.java","119164","434",""
"2014-02-05 22:43","LedgerCreateOp.java","19520","0","7"
"2012-12-27 23:16","PendingAddOp.java","17403","-428","2"
"2014-01-21 05:19","LedgerCreateOp.java","19229","0","6"
"2012-04-02 12:38","PendingAddOp.java","11814","16","1"
"2014-02-05 22:43","PendingAddOp.java","19192","378","7"
"2013-10-14 18:32","PendingAddOp.java","19001","378","6"
"2012-06-19 12:39","LedgerCreateOp.java","12679","0","2"
"2013-04-26 18:38","PendingAddOp.java","18868","378","5"
"2012-01-18 15:11","LedgerCreateOp.java","4430","0","1"
"2016-10-13 07:50","UpdateLedgerCmdTest.java","111718","0",""
"2011-11-18 11:18","BookKeeperTestClient.java","7801","42",""
"2017-10-03 12:31","BookKeeperServerStats.java","130621","0",""
"2017-01-31 02:14","TestAuth.java","6577","0",""
"2013-04-04 11:21","ScanAndCompareGarbageCollector.java","3159","0","5"
"2014-02-05 22:43","LedgerFragment.java","11251","109","7"
"2012-12-08 16:14","TestPerChannelBookieClient.java","1973","0","2"
"2014-09-09 05:57","TestTryReadLastConfirmed.java","1653","0",""
