"Date","Class","MAXLOC","AVGLOC","Index"
"2009-04-17 00:59","RecoveryTest.java","85872","4","4"
"2011-04-12 09:14","AckRequestProcessor.java","70417","0","11"
"2009-07-17 00:09","RecoveryTest.java","94241","3","5"
"2009-02-20 01:23","RecoveryTest.java","54394","4","3"
"2019-08-17 17:13","ObserverHierarchicalQuorumTest.java","257187","0",""
"2016-08-24 01:36","ClientBase.java","265869","22",""
"2019-11-08 17:30","IWatchManager.java","180888","0",""
"2010-07-05 20:20","FourLetterWordsQuorumTest.java","46865","-28","9"
"2011-09-15 00:22","BinaryOutputArchive.java","79194","0","11"
"2011-04-12 09:14","ProtocolSupport.java","83817","0","11"
"2009-08-07 23:00","CnxManagerTest.java","759","0","5"
"2010-03-13 01:06","ObserverHierarchicalQuorumTest.java","24575","0","7"
"2017-02-12 00:12","Zab1_0Test.java","266649","11",""
"2011-04-12 09:14","NullDataTest.java","104003","0","11"
"2019-10-10 14:37","RecoveryTest.java","261595","4",""
"2010-03-31 06:26","CnxManagerTest.java","40656","-17","8"
"2019-08-27 09:23","DistributedQueueTest.java","257780","0",""
"2010-10-06 19:01","CnxManagerTest.java","93441","-17","9"
"2010-01-26 01:17","FourLetterWordsQuorumTest.java","31519","-28","7"
"2010-03-16 22:23","FileTxnLog.java","109672","7","7"
"2019-10-10 14:37","ConnectionBean.java","261595","-9",""
"2019-08-17 17:13","AtomicFileWritingIdiomTest.java","256154","0",""
"2009-08-25 07:45","FileTxnLog.java","83244","-14","5"
"2009-06-18 18:37","FileTxnLog.java","72814","19","4"
"2018-07-12 01:33","ServerStats.java","257842","-7",""
"2009-02-20 01:23","FileTxnLog.java","41172","25","3"
"2020-05-05 09:18","JettyAdminServerTest.java","271354","6",""
"2008-12-10 22:55","FileTxnLog.java","23002","-26","2"
"2018-07-27 05:16","KeeperException.java","270947","11",""
"2019-06-03 19:40","ZKParameterized.java","255966","-24",""
"2016-08-24 01:36","ReconfigLegacyTest.java","256147","-8",""
"2015-07-07 07:11","SimpleSysTest.java","257689","3",""
"2018-07-27 12:32","LocalPeerBeanTest.java","255916","22",""
"2019-08-17 17:13","InvalidSnapshotTest.java","261459","15",""
"2019-08-17 17:13","SaslSuperUserTest.java","255250","0",""
"2018-07-27 12:32","ConfigUtils.java","256406","19",""
"2011-04-12 09:14","FileLoader.java","14937","0","11"
"2008-12-02 01:13","ZooKeeper.java","46412","8","1"
"2011-09-17 02:42","ServerConfig.java","102277","-10","11"
"2009-01-31 00:01","ZooKeeper.java","59290","4","2"
"2009-04-09 23:02","ZooKeeper.java","102935","-18","4"
"2009-08-07 20:00","ZooKeeper.java","105102","-23","5"
"2009-10-31 00:09","ZooKeeper.java","118197","8","6"
"2010-05-15 01:32","ZNodeNameTest.java","69688","0","8"
"2010-02-08 23:36","ZooKeeper.java","122702","-23","7"
"2019-08-17 17:13","ClientCnxnSocketTest.java","255276","0",""
"2019-08-17 17:13","EventTypeTest.java","257500","0",""
"2010-11-10 23:36","ZooKeeper.java","183729","-10","9"
"2019-07-29 17:15","RecordWriter.java","254361","0",""
"2019-08-17 17:13","ToStringTest.java","257702","0",""
"2019-08-17 17:13","SaslAuthRequiredTest.java","29313","0",""
"2019-08-17 17:13","ReadAheadEndpoint.java","28338","0",""
"2011-04-12 09:14","QuorumPeerInstance.java","96641","26","11"
"2020-02-16 10:25","QuorumServerTest.java","268349","0",""
"2014-07-22 06:51","ZooKeeper.java","272109","-18",""
"2010-03-31 06:26","EventTypeTest.java","40968","0","8"
